ID,Loại,SKU,"GTIN, UPC, EAN hoặc ISBN",Tên,"Đã xuất bản","Là sản phẩm nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giá khuyến mãi","Ngày kết thúc giá khuyến mãi","Trạng thái thuế","Lớp thuế","Còn hàng?","Tồn kho","Số lượng sắp hết hàng","Cho phép đặt hàng trước?","Bán riêng lẻ?","Cân nặng (kg)","Chiều dài (cm)","Chiều rộng (cm)","Chiều cao (cm)","Cho phép khách hàng đánh giá?","Ghi chú mua hàng","Giá khuyến mãi","Giá thông thường","Danh mục",Thẻ,"Lớp vận chuyển","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải xuống",Cha,"Sản phẩm theo nhóm","Bán thêm","Bán chéo","URL bên ngoài","Văn bản nút","Vị trí","Thương hiệu","Sản Phẩm Thương Hiệu","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính chung 1"
253,variable,AMD-PSJ-958,,"Nến thơm cao cấp| Nến kể chuyện | A cup of peace",1,1,visible,"A Cup Of Peace y như tên gọi Một tách bình yên giúp bạn thư giãn, tâm trí dịu lại và cảm nhận hiện tại.","<h4>Về sản phẩm</h4>
\n<p class=""QN2lPu"">Một mùi hương mang đến cho bạn khung cảnh của buổi chiều thưởng trà: Gió mát miên man ngoài sân, trên bàn là tách trà thơm phức và quyển sách hay bạn đang đọc dang dở.</p>
\n<p class=""QN2lPu"">A Cup Of Peace y như tên gọi Một tách bình yên giúp bạn thư giãn, tâm trí dịu lại và cảm nhận hiện tại.</p>
\n<p class=""QN2lPu"">Hương thơm của A Cup Of Peace phù hợp cho buổi thiền sáng, hoặc nghỉ ngơi tĩnh tâm sau một ngày dài làm việc.</p>
\n
\n<table class=""bordered"">
\n<tbody>
\n<tr>
\n<th colspan=""2"">CHI TIẾT SẢN PHẨM</th>
\n</tr>
\n<tr>
\n<td style=""width: 150px;""><strong>Thành phần</strong></td>
\n<td>Sáp cọ, sáp ong, tinh dầu Mỹ cao cấp</td>
\n</tr>
\n<tr>
\n<td style=""width: 150px;""><strong>Khối lượng</strong></td>
\n<td>100g/220g</td>
\n</tr>
\n<tr>
\n<td style=""width: 150px;""><strong>Chất liệu hủ</strong></td>
\n<td>Thuỷ tinh</td>
\n</tr>
\n<tr>
\n<td style=""width: 150px;""><strong>Nơi sản xuất</strong></td>
\n<td>Việt Nam</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,99,,notify,0,0.500,,,,1,,,,"Nến thơm cao cấp > Nến kể chuyện, Nến thơm cao cấp",,,"https://nghikigai.com/wp-content/uploads/2023/10/tai-xuong-9.webp, https://nghikigai.com/wp-content/uploads/2023/10/FullSizeRender_VSCO-5-scaled.webp, https://nghikigai.com/wp-content/uploads/2023/10/FullSizeRender_VSCO-41-scaled.webp, https://nghikigai.com/wp-content/uploads/2023/10/NKC-A-cup-of-peace-01-png.webp",,,,,,,,,0,,,Size,"100g, 220g",1,0
456,variation,,,"Nến thơm cao cấp| Nến kể chuyện | A cup of peace - 220g",1,0,visible,,,,,taxable,parent,1,,,0,0,0.22,,,,0,,,320000,,,,https://nghikigai.com/wp-content/uploads/2023/10/FullSizeRender_VSCO-5-scaled.webp,,,AMD-PSJ-958,,,,,,2,,,Size,220g,,0
1917,variation,,,"Nến thơm cao cấp| Nến kể chuyện | A cup of peace - 100g",1,0,visible,,,,,taxable,parent,1,,,0,0,0.1,,,,0,,,150000,,,,https://nghikigai.com/wp-content/uploads/2025/09/IMG_9650-scaled-jpg.webp,,,AMD-PSJ-958,,,,,,1,,,Size,100g,,0
1919,variable,AMD-PSJ-958-1,,"Nến thơm cao cấp| Nến kể chuyện | A new era of me",1,1,visible,"Cái tên A new era of me (Thời của tôi đã đến) có thể được hiểu là dành cho bất kỳ khoảnh khắc nào bạn quyết định thay đổi, làm một thứ gì đó mới mẻ, thách thức bản thân, rẽ hướng, theo đuổi một điều quan trọng.","<h4>Về sản phẩm</h4>
\n<p class=""QN2lPu"">THỜI CỦA TÔI ĐÃ ĐẾN (A NEW ERA OF ME) là loại nến được Nghikigai cho ra mắt đầu năm 2024 để khuyến khích những ai đang loay hoay mất phương hướng sẽ điềm tĩnh và nhìn thấy được con đường cho chính mình.</p>
\n<p class=""QN2lPu"">Kết hợp giữa mùi gỗ đàn hương và mùi cotton khá giống với mùi vải, quần áo sau khi giặt sạch với nước thơm, sự kết hợp này vừa táo bạo vừa quen thuộc. Táo bạo vì quá quen thuộc mà khi ngửi thấy mùi, bạn sẽ ồ lên: ""Hóa ra là mùi này"" hoặc ""Mùi này rất quen, nó trong tiềm thức nhưng mình lại quên bẵng nó mất"".</p>
